Datetime,Ta,Tg,Twb,MRT,RH,V,WBGT,ET
2025-02-11 12:43:27,25.1,25.2,25.2,25.2,61.97,0.07,25.2,25.84
2025-02-11 12:44:27,25.1,25.2,25.2,25.2,61.97,0.03,25.2,25.84
2025-02-11 12:45:27,25.2,25.1,25.2,25.1,61.6,0.04,25.17,25.84
2025-02-11 12:46:27,25.2,25.2,25.2,25.2,61.6,0.14,25.2,25.84
2025-02-11 12:47:27,25.2,25.2,25.2,25.2,61.6,0.0,25.2,25.84
2025-02-11 12:48:27,25.2,25.2,25.2,25.2,61.6,0.02,25.2,25.84
2025-02-11 12:49:27,25.2,25.2,25.2,25.2,61.21,0.02,25.2,25.82
2025-02-11 12:50:27,25.2,25.2,25.2,25.2,61.21,0.07,25.2,25.82
2025-02-11 12:51:27,25.2,25.1,25.2,25.1,61.21,0.07,25.17,25.82
2025-02-11 12:52:27,25.1,25.2,25.2,25.2,61.97,0.02,25.2,25.84
2025-02-11 12:53:27,25.2,25.1,25.2,25.1,61.6,0.02,25.17,25.93
2025-02-11 12:54:27,25.2,25.2,25.2,25.2,61.6,0.07,25.2,25.84
2025-02-11 12:55:27,25.2,25.2,25.2,25.2,61.6,0.01,25.2,25.84
2025-02-11 12:56:27,25.1,25.2,25.2,25.2,61.97,0.0,25.2,25.93
2025-02-11 12:57:27,25.1,25.2,25.2,25.3,61.97,0.08,25.2,25.93
2025-02-11 12:58:27,25.2,25.2,25.2,25.2,62.38,0.08,25.2,25.97
2025-02-11 12:59:27,25.2,25.2,25.2,25.2,62.38,0.04,25.2,25.97
2025-02-11 13:00:27,25.2,25.2,25.2,25.2,62.38,0.13,25.2,25.97
2025-02-11 13:01:27,25.3,25.2,25.2,25.2,61.62,0.06,25.2,25.95
2025-02-11 13:02:27,25.2,25.2,25.2,25.2,61.99,0.1,25.2,25.95
2025-02-11 13:03:27,25.1,25.2,25.2,25.2,62.36,0.02,25.2,25.86
2025-02-11 13:04:27,25.1,25.2,25.2,25.3,62.76,0.13,25.2,25.97
2025-02-11 13:05:27,25.1,25.2,25.2,25.3,62.76,0.08,25.2,25.97
2025-02-11 13:06:27,25.1,25.2,25.2,25.2,62.76,0.0,25.2,25.88
2025-02-11 13:07:27,25.1,25.2,25.2,25.3,62.76,0.08,25.2,25.97
2025-02-11 13:08:27,25.1,25.2,25.2,25.3,62.76,0.11,25.2,25.97
2025-02-11 13:09:27,25.1,25.2,25.2,25.2,62.76,0.07,25.2,25.97
2025-02-11 13:10:27,25.1,25.2,25.2,25.3,63.55,0.08,25.2,26.01
2025-02-11 13:11:27,25.1,25.1,25.2,25.1,63.55,0.05,25.17,26.01
2025-02-11 13:12:27,25.1,25.2,25.2,25.3,63.55,0.09,25.2,26.01
2025-02-11 13:13:27,25.1,25.2,25.2,25.2,63.95,0.05,25.2,26.03
2025-02-11 13:14:27,25.1,25.1,25.2,25.1,63.95,0.0,25.17,26.03
2025-02-11 13:15:27,25.0,25.2,25.2,25.3,64.34,0.1,25.2,25.94
2025-02-11 13:16:27,25.1,25.2,25.2,25.2,63.95,0.0,25.2,25.94
2025-02-11 13:17:27,25.1,25.2,25.2,25.2,63.95,0.06,25.2,26.03
2025-02-11 13:18:27,25.1,25.1,25.2,25.1,63.95,0.02,25.17,26.03
2025-02-11 13:19:27,25.2,25.2,25.2,25.2,63.98,0.04,25.2,26.06
2025-02-11 13:20:27,25.1,25.1,25.2,25.1,64.36,0.06,25.17,26.06
2025-02-11 13:21:27,25.1,25.2,25.2,25.3,64.36,0.09,25.2,25.96
2025-02-11 13:22:27,25.0,25.2,25.2,25.3,64.74,0.0,25.2,25.96
2025-02-11 13:23:27,25.1,25.2,25.2,25.2,64.36,0.03,25.2,26.06
2025-02-11 13:24:27,25.1,25.1,25.2,25.1,64.36,0.08,25.17,26.06
2025-02-11 13:25:27,25.1,25.2,25.2,25.3,64.36,0.1,25.2,26.06
2025-02-11 13:26:27,25.1,25.2,25.2,25.2,64.36,0.06,25.2,25.96
2025-02-11 13:27:27,25.0,25.2,25.2,25.3,64.74,0.04,25.2,25.96
2025-02-11 13:28:27,25.0,25.1,25.1,25.1,64.74,0.05,25.1,25.96
2025-02-11 13:29:27,25.0,25.1,25.2,25.1,64.74,0.06,25.17,25.96
2025-02-11 13:30:27,25.1,25.1,25.2,25.1,64.36,0.07,25.17,25.96
2025-02-11 13:31:27,25.1,25.1,25.2,25.1,64.36,0.09,25.17,25.96
2025-02-11 13:32:27,25.1,25.2,25.2,25.2,64.36,0.04,25.2,25.96
